,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,iteration
10,1.2095,0.9918600000000001,2.9506,0.22671,1.0769,0.8045100000000001,5.1976,0.51842,0.95231,0.12716,0.49996,0.052225,0.23358,5.6114,0.9978899999999999,3.2033,4.3799,2.4582,0.42496000000000006,0.16917000000000001,18.055999999999997,2.3613,8.3309,3.0126,0.54862,6.6153,1.545,1.5423,0.52857,0.48549,0.12367,0.26908000000000004,0.33484,1.6182,0.75097,0.52587,2.5591,0.48781,0.8988,1.6444,1.4577,0.38666999999999996,1.8871,0.11644000000000002,5.9995,2.2609,0.70008,12.562999999999999,0.13230999999999998,10.696,0.10647999999999999,0.29752,9.5481,9
11,1.2572,0.5300600000000001,2.7401,0.20148,0.80415,0.6963699999999999,2.0625,0.58812,0.8808,0.096478,0.39941,0.10088,0.15793,2.2529,0.97029,1.5864,5.2371,2.8022,0.74571,0.14982,7.3953,1.8155,10.732999999999999,2.523,0.5786399999999999,5.8878,1.8676,0.92499,0.13926,0.5979899999999999,0.1829,0.21739,0.36732,0.78978,0.28486,0.5233,0.41621,0.25237,1.0383,1.5963,1.4135,0.37695,1.4277,0.146,7.5671,1.6703,0.55775,6.3204,0.13327999999999998,7.8541,0.099628,0.26574000000000003,7.7104,9
12,1.1196,0.48367,2.2839,0.1909,0.68801,1.7812,3.8097,0.4443,2.3856,0.17022,0.37696,0.15807000000000002,0.10958,3.4309,0.96936,2.29,5.111000000000001,1.9339,0.76376,0.19960999999999998,3.8458,1.3781,5.5729,2.4843,0.30299,3.7305,2.4379,0.7862899999999999,0.62157,0.75262,0.40685,0.23684000000000002,0.36709,0.67245,0.33815,0.38216999999999995,0.099334,0.8928299999999999,0.9451299999999999,1.4629,1.1082,0.50367,1.9349,0.10764000000000001,4.5377,1.2827,0.46783,8.0732,0.13092,6.9239999999999995,0.076088,0.15275999999999998,7.1462,9
13,1.3861,0.46269,2.3373,0.16011,0.89935,0.47011000000000003,4.7783,0.37856999999999996,0.82032,0.34862,0.32884,0.12819,0.32883,9.4479,0.9131799999999999,1.0423,5.518,2.7278,0.67987,0.14962999999999999,3.8136,1.3467,8.1957,2.0329,0.5734,4.0893,3.0806,1.8866,0.098121,0.8799600000000001,0.12405999999999999,0.27244,0.35014,0.9339799999999999,0.29415,0.54962,0.1967,0.37296,2.0141,2.2835,2.2379,0.47775,0.8604799999999999,0.15724000000000002,8.8907,1.5073,0.7283,11.472999999999999,0.07699099999999999,6.8316,0.076133,0.26125,9.0591,9
14,2.0943,0.6079600000000001,5.8074,0.19666,1.2329999999999999,1.2359,5.6389,0.36813,1.1256,0.35784,0.33843,0.14757,0.12622,2.0064,0.79871,1.4845,5.8014,5.9486,0.60769,0.11732999999999999,5.3118,2.6204,8.738,1.5674,0.57326,6.4457,2.0981,1.5976,0.13448,1.9357,0.27616,0.28,0.73435,1.222,0.39943,1.0507,0.78428,0.48383000000000004,2.316,3.26,2.4168,0.47375,1.5959,0.31719,10.029,2.0264,1.2389,13.324000000000002,0.072476,12.877,0.088064,0.51971,6.9719,9
15,1.3591,0.3295,2.3674,0.26616,0.79671,2.1729,6.8013,0.64385,1.2349,0.26647,0.6604399999999999,0.12028,0.43971000000000005,4.7818,1.4218,2.1723,5.2339,2.2368,0.75003,0.17174,8.0729,2.4012,7.5362,3.3607,4.2738,3.3769,5.2757,0.49906000000000006,0.13009,0.6450899999999999,0.10912999999999999,0.28717,0.53299,1.0634,0.45041000000000003,1.2115,0.067759,0.54615,1.8121,4.3896,2.2809,0.3511,1.8153,0.15802,9.3482,3.0761,1.5457,12.463,0.14523,6.0086,0.09246499999999999,0.11785999999999999,10.597000000000001,9
16,1.6552,0.47657,1.7689,0.15395999999999999,0.94214,0.54624,5.4836,0.40387,0.9885799999999999,0.17484,0.40915,0.089334,0.77585,3.1181,1.0393,1.9502,4.3969,1.4071,0.7313,0.23283,16.559,5.4193,7.4508,2.0032,0.30749,5.0195,5.3979,3.7662,0.16067,0.44898000000000005,0.10176,0.38621,0.37028,0.91179,0.73947,1.0279,0.28124,0.85224,1.0781,2.4286,4.7349,0.24977,1.6409,0.08412,17.775,1.8275,0.67356,11.04,0.17293,6.1391,0.13197,1.3947,11.376,9
17,2.0542,0.34199,4.8486,0.36233000000000004,1.7064,4.3732,5.2183,0.8482299999999999,2.0272,0.41589,0.23081,0.10567,0.15319000000000002,5.4585,0.40767,0.9793299999999999,5.5679,2.5451,0.55108,0.19405,8.5252,2.4713,8.0497,2.2192,0.80935,1.7284,1.725,0.8558,0.13807,0.70881,0.13179000000000002,0.25964,0.27728,0.96104,0.43003,1.1295,0.18220999999999998,1.4226,1.1936,2.8283,3.1614,0.41361000000000003,1.8642,0.16222999999999999,15.062999999999999,1.7851,2.7552,11.387,0.12515,7.347,0.12103,0.13155,15.312999999999999,9
18,2.623,0.55609,2.3248,0.24147,0.9864799999999999,1.3648,5.9419,0.37656,2.5808,0.28754,0.5662,0.15521,0.32581,3.5173,1.3454,2.4802,5.0324,2.4496,0.50632,0.18414,8.6179,1.7028,8.0948,1.4480000000000002,0.66262,4.5008,17.812,1.2255,0.1627,1.8951,0.14112,0.26447,0.22363000000000002,1.2345,0.81645,2.0125,0.11625999999999999,0.97951,2.4532,4.0268,1.7509,0.39103000000000004,2.3859,0.11986,14.478,2.3369,0.65855,15.615,0.1374,11.605,0.12367,0.22595,9.9871,9
19,2.3881,0.44903999999999994,9.0701,0.6015199999999999,1.0382,3.7896,5.4511,0.61128,1.0597,0.46065,0.24241999999999997,0.20961,0.40931999999999996,9.1108,1.2908,1.8231,6.0176,1.4685,1.2913,0.16452999999999998,7.2264,6.2556,24.4,1.7829,1.7485,8.7515,2.5349,2.8936,0.59692,0.94973,0.42363999999999996,0.23134000000000002,0.51353,1.0190000000000001,0.41991999999999996,0.91522,0.6446,1.6989,2.4358,7.2455,2.6992,0.31386,7.8612,0.48439,20.054000000000002,2.3192,1.8467,17.706,0.13813,9.6528,0.10652,0.10335,11.429,9
